",""Id"",""Fuente"",""Fecha_Registro"",""Seccion"",""Titulo"",""Fecha_Dia"",""Dia""";;;;;;;
"8604,""85548"",""DF"",""2016-10-03 06:33:31"",""Empresas"",""Contraloria torpedea acuerdo entre el MOP y el Ejercito"",2016-10-03,""lunes""";;;;;;;
"8605,""85549"",""EMOL"",""2016-10-03 06:36:04"",""Nacional"",""Presidenta Bachelet encabeza consejo de gabinete en antesala del inicio de la discusion del Presupuesto 2017 ";" Emol.com"",2016-10-03,""lunes""";;;;;;
"8606,""85550"",""EMOL"",""2016-10-03 06:37:07"",""Internacional"",""Putin suspende el tratado con EE.UU. sobre la reconversion de plutonio militar ";" Emol.com"",2016-10-03,""lunes""";;;;;;
"8607,""85551"",""DF"",""2016-10-03 06:38:02"",""Opinion"",""Casen 2015: la tarea continuaD"",2016-10-03,""lunes""";;;;;;;
"8608,""85552"",""DF"",""2016-10-03 06:39:28"","" "",""Tasa de desempleo bajo la lupa"",2016-10-03,""lunes""";;;;;;;
"8609,""85553"",""DF"",""2016-10-03 06:40:55"","" "",""Bajas perspectivas para la construccion"",2016-10-03,""lunes""";;;;;;;
"8610,""85554"",""DF"",""2016-10-03 06:42:21"",""Opinion"",""Hacia una ecologia humana"",2016-10-03,""lunes""";;;;;;;
"8611,""85555"",""DF"",""2016-10-03 06:43:49"",""Opinion"",""La liberadora alegria que sentia tras extraviar mi telefono inteligenteL"",2016-10-03,""lunes""";;;;;;;
"8612,""85556"",""DF"",""2016-10-03 06:45:58"",""Internacional"",""Aliados de Trump lo tratan de genio si no pago impuestos"",2016-10-03,""lunes""";;;;;;;
"8613,""85557"",""DF"",""2016-10-03 06:47:01"",""Internacional"",""Elecciones en Rio de Janeiro se definiran en segunda vuelta"",2016-10-03,""lunes""";;;;;;;
"8614,""85558"",""DF"",""2016-10-03 06:48:05"",""Internacional"",""Santiago Castro, asociacion de banqueros: ?No tiene por que tener repercusiones en la economia?"",2016-10-03,""lunes""";;;;;;;
"8615,""85559"",""EMOL"",""2016-10-03 07:01:05"",""Tecnologia"",""Investigador de los mecanismos de autofagia gana el Premio Nobel de Medicina 2017 ";" Emol.com"",2016-10-03,""lunes""";;;;;;
"8616,""85560"",""EMOL"",""2016-10-03 07:06:04"",""Deportes"",""Lo que no se vio del Superclasico: De la rabieta de Pablo Guede al noble gesto de Johnny Herrera ";" Emol.com"",2016-10-03,""lunes""";;;;;;
"8617,""85561"",""EMOL"",""2016-10-03 07:11:04"",""Internacional"",""Plebiscito por la paz: Opcion ";Si; gano entre los colombianos residentes en Chile ;" Emol.com"",2016-10-03,""lunes""";;;;
"8618,""85562"",""EMOL"",""2016-10-03 07:12:07"",""Economia"",""Pese a austeridad del Presupuesto, Chile registrara uno de los gastos mas expansivos de la region ";" Emol.com"",2016-10-03,""lunes""";;;;;;
"8619,""85563"",""EMOL"",""2016-10-03 07:21:04"",""Deportes"",""";No es ni la mitad de bueno de lo que se cree el con los pies;: En Espana destrozan a Ter Stegen tras error ;" Emol.com"",2016-10-03,""lunes""";;;;
"8620,""85564"",""LA TERCERA"",""2016-10-03 07:21:22"",""deportes"",""Tres chilenos triunfadores en Espana"",2016-10-03,""lunes""";;;;;;;
"8621,""85565"",""EMOL"",""2016-10-03 07:22:06"",""Nacional"",""Corte ratifica detencion ilegal de tres imputados tras ser retenidos por seguridad municipal ";" Emol.com"",2016-10-03,""lunes""";;;;;;
"8622,""85566"",""LA TERCERA"",""2016-10-03 07:22:25"",""deportes"",""Pep y los otros"",2016-10-03,""lunes""";;;;;;;
"8623,""85567"",""EMOL"",""2016-10-03 07:23:09"",""Economia"",""Ministro de Finanzas de Reino Unido: La economia britanica afronta ";una montana rusa; por el Brexit ;" Emol.com"",2016-10-03,""lunes""";;;;
"8624,""85568"",""LA TERCERA"",""2016-10-03 07:23:27"",""deportes"",""Clasicos suenos de ninos"",2016-10-03,""lunes""";;;;;;;
"8625,""85569"",""LA TERCERA"",""2016-10-03 07:24:29"",""deportes"",""El peso de la historia"",2016-10-03,""lunes""";;;;;;;
"8626,""85570"",""LA TERCERA"",""2016-10-03 07:25:31"",""deportes"",""Juan Cristobal Guarello: 'Esta claro que a Gomez lo bajo Bravo, ¿alguna duda?'"",2016-10-03,""lunes""";;;;;;;
"8627,""85571"",""LA TERCERA"",""2016-10-03 07:26:34"",""deportes"",""U. Catolica: Aplastada y eliminada"",2016-10-03,""lunes""";;;;;;;
"8628,""85572"",""LA TERCERA"",""2016-10-03 07:27:36"",""deportes"",""Un kamikaze gana la batalla"",2016-10-03,""lunes""";;;;;;;
"8629,""85573"",""LA TERCERA"",""2016-10-03 07:28:45"",""deportes"",""El palo a la Gata"",2016-10-03,""lunes""";;;;;;;
"8630,""85574"",""LA TERCERA"",""2016-10-03 07:29:47"",""deportes"",""Un heroe llamado Martin"",2016-10-03,""lunes""";;;;;;;
"8631,""85575"",""EMOL"",""2016-10-03 07:31:13"",""Deportes"",""Las ";Diablas; del hockey cesped arrancan con goleada en la World League de Chiclayo ;" Emol.com"",2016-10-03,""lunes""";;;;
"8632,""85576"",""EMOL"",""2016-10-03 07:32:15"",""Internacional"",""Registran intensos enfrentamientos en distintas partes de la ciudad siria de Alepo ";" Emol.com"",2016-10-03,""lunes""";;;;;;
"8633,""85577"",""EMOL"",""2016-10-03 07:36:04"",""Nacional"",""Diputados Tucapel Jimenez y Cristian Campos preparan sus renuncias al PPD ";" Emol.com"",2016-10-03,""lunes""";;;;;;
"8634,""85578"",""LA TERCERA"",""2016-10-03 07:36:35"",""deportes"",""Superclasico: Un heroe llamado Martin"",2016-10-03,""lunes""";;;;;;;
"8635,""85579"",""EMOL"",""2016-10-03 07:37:06"",""Economia"",""Visitantes de Costanera Center crecen 10 y superan los 21 millones en primer semestre ";" Emol.com"",2016-10-03,""lunes""";;;;;;
"8636,""85580"",""EMOL"",""2016-10-03 07:38:09"",""Espectaculos"",""Kim Kardashian sufre millonario robo a mano armada en Paris ";" Emol.com"",2016-10-03,""lunes""";;;;;;
"8637,""85581"",""EMOL"",""2016-10-03 07:46:04"",""Internacional"",""Uribe y Santos: el absoluto ganador y el gran perdedor tras el plebiscito en Colombia ";" Emol.com"",2016-10-03,""lunes""";;;;;;
"8638,""85582"",""LA TERCERA"",""2016-10-03 07:51:22"",""politica"",""Bachelet encabeza consejo de gabinete previo a la discusion del Presupuesto 2017"",2016-10-03,""lunes""";;;;;;;
"8639,""85583"",""LA TERCERA"",""2016-10-03 07:52:24"",""deportes"",""La Seleccion se llena de exigencias en Ecuador"",2016-10-03,""lunes""";;;;;;;
"8640,""85584"",""LA TERCERA"",""2016-10-03 07:53:33"",""deportes"",""Repudiado hasta con billetes"",2016-10-03,""lunes""";;;;;;;
"8641,""85585"",""EMOL"",""2016-10-03 08:01:04"",""Economia"",""Moody";#39;s: Seria positivo para los prestamistas del Deutsche Bank si se resuelven acusaciones de EE.UU. ;" Emol.com"",2016-10-03,""lunes""";;;;
"8642,""85586"",""DF"",""2016-10-03 08:02:26"",""Internacional"",""Aliados de Trump lo tratan de genio si no pago impuestos por casi 20 anos"",2016-10-03,""lunes""";;;;;;;
"8643,""85587"",""EMOL"",""2016-10-03 08:06:03"",""Deportes"",""Pese a atajar penal, en Inglaterra critican duro a Bravo por su juego de pies y piden que Hart vuelva al City ";" Emol.com"",2016-10-03,""lunes""";;;;;;
"8644,""85588"",""DF"",""2016-10-03 08:07:31"",""Internacional"",""Banca de Colombia: ?Plebiscito no tiene por que tener repercusiones en la economia?"",2016-10-03,""lunes""";;;;;;;
"8645,""85589"",""EMOL"",""2016-10-03 08:11:04"",""Nacional"",""Trabajadores se toman sede regional del Sename ";" Emol.com"",2016-10-03,""lunes""";;;;;;
"8646,""85590"",""EMOL"",""2016-10-03 08:21:05"",""Espectaculos"",""Liberan el primer adelanto de la nueva entrega de ";Piratas del Caribe; ;" Emol.com"",2016-10-03,""lunes""";;;;
"8647,""85591"",""EMOL"",""2016-10-03 08:22:07"",""Espectaculos"",""John Lithgow y su rol como Churchill en ";The Crown;: ;No creo que haya investigado mas un personaje; ;" Emol.com"",2016-10-03,""lunes""";;
